,Mean Absolute Value,Manhattan Distance,Euclidean Distance,Chebyshev Distance
Original,0.05636363636363635,1.2399999999999998,0.5121816084163898,0.404
Bi,0.05427272727272727,1.194,0.44503033604463416,0.312
Tri,0.055772727272727265,1.2269999999999999,0.44625217086306707,0.312
IDF,0.09127272727272727,2.008,0.8175756845699363,0.609
TF-IDF,0.045045454545454555,0.9910000000000002,0.3650794434092393,0.231
