,score
0,0.08
1,0.1
2,-0.1
3,0
4,0.1
5,0.3
6,0.1
7,0
8,-0.18
9,0.18
10,-0.18
11,0.1
12,0.05
13,0.1
14,0
15,-0.1
16,-0.05
17,0.1
18,0
19,-0.05
20,0.1
21,0.08
22,-0.05
23,0
24,0.15
25,0.08
26,-0.05
27,0
28,0
29,-0.08
30,0
31,0
32,-0.05
33,-0.03
34,-0.1
35,0
36,0.05
37,0.03
38,0.08
39,0.1
