,neg,neu,pos
0,0.214,0.786,0.0
1,0.137,0.863,0.0
2,0.0,0.848,0.152
3,0.173,0.827,0.0
4,0.0,1.0,0.0
5,0.0,1.0,0.0
6,0.0,0.614,0.386
7,0.0,0.603,0.397
8,0.0,0.633,0.367
9,0.06,0.621,0.319
10,0.282,0.472,0.247
11,0.0,0.612,0.388
12,0.108,0.892,0.0
13,0.0,1.0,0.0
