,neg,neu,pos
0,0.035,0.965,0.0
1,0.0,0.973,0.027
2,0.02,0.939,0.041
3,0.0,1.0,0.0
4,0.0,1.0,0.0
5,0.0,0.957,0.043
6,0.061,0.909,0.03
7,0.069,0.896,0.035
8,0.0,1.0,0.0
9,0.0,1.0,0.0
10,0.101,0.899,0.0
11,0.0,1.0,0.0
12,0.0,1.0,0.0
13,0.0,0.949,0.051
14,0.0,0.981,0.019
15,0.143,0.857,0.0
16,0.0,1.0,0.0
17,0.0,0.962,0.038
18,0.037,0.926,0.037
19,0.091,0.818,0.091
20,0.0,0.975,0.025
21,0.041,0.959,0.0
