,Mean Absolute Value,Manhattan Distance,Euclidean Distance,Chebyshev Distance
Original,0.07164285714285715,1.0030000000000001,0.33379185130856626,0.14800000000000002
Bi,0.046142857142857145,0.646,0.2627013513478756,0.16799999999999998
Tri,0.046142857142857145,0.646,0.2627013513478756,0.16799999999999998
IDF,0.15542857142857142,2.1759999999999997,0.7163420970458179,0.34700000000000003
TF-IDF,0.03621428571428571,0.507,0.18976564494133283,0.113
