,Mean Absolute Value,Manhattan Distance,Euclidean Distance,Chebyshev Distance
Original,0.029624999999999995,1.1849999999999998,0.3191285007641906,0.177
Bi,0.03835,1.534,0.39159417768909693,0.22699999999999998
Tri,0.037099999999999994,1.4839999999999998,0.38621755527163704,0.22699999999999998
IDF,0.06822500000000001,2.729,0.6278638387421273,0.25100000000000006
TF-IDF,0.03350000000000001,1.3400000000000003,0.3178521668952408,0.196
