,Mean Absolute Value,Manhattan Distance,Euclidean Distance,Chebyshev Distance
Original,0.04510526315789473,3.4279999999999995,0.6896303357596735,0.404
Bi,0.044394736842105265,3.374,0.6483903145482665,0.312
Tri,0.04417105263157895,3.357,0.6460007739933443,0.312
IDF,0.09096052631578949,6.913000000000001,1.2553043455672415,0.609
TF-IDF,0.0373421052631579,2.8380000000000005,0.5199269179413584,0.231
