,neg,neu,pos
0,0.067,0.933,0.0
1,0.0,0.947,0.053
2,0.034,0.892,0.073
3,0.0,1.0,0.0
4,0.0,1.0,0.0
5,0.0,0.919,0.081
6,0.1,0.844,0.056
7,0.109,0.843,0.047
8,0.0,1.0,0.0
9,0.0,1.0,0.0
10,0.182,0.818,0.0
11,0.0,1.0,0.0
12,0.0,1.0,0.0
13,0.0,0.905,0.095
14,0.0,0.964,0.036
15,0.25,0.75,0.0
16,0.0,1.0,0.0
17,0.0,0.943,0.057
18,0.07,0.871,0.059
19,0.154,0.692,0.154
20,0.0,0.951,0.049
21,0.074,0.926,0.0
